1979,MI82349,Detroit,MI,1258924,21021,452,1369,7787,11413
1979,TX07102,ElPaso,TX,413244,2245,33,175,1224,813
1979,VA02901,FairfaxCounty,VA,519384,882,11,124,282,465
1979,TX22012,FortWorth,TX,384582,3799,99,345,1572,1783
1979,CA01005,Fresno,CA,194849,1976,43,148,776,1009
1979,HI00200,Honolulu,HI,734368,2196,48,223,357,1568
1979,TXHPD00,Houston,TX,1619644,14216,654,1481,2770,9311
1979,INIPD00,Indianapolis,IN,513877,4178,92,439,1594,2053
1979,FL01602,Jacksonville,FL,546419,4903,73,372,2903,1555
1979,MOKPD00,KansasCity,MO,462914,5942,119,436,2736,2651
1979,NV00201,LasVegas,NV,324220,3210,75,198,1046,1891
1979,CA01941,LongBeach,CA,349158,3990,61,278,1373,2278
1979,CA01900,LosAngelesCounty,CA,911864,11529,201,694,7141,3493
1979,CA01942,LosAngeles,CA,2863412,43372,786,2508,19624,20454
1979,KY05680,Louisville,KY,,,,,,
1979,TNMPD00,Memphis,TN,682110,5785,103,704,1678,3300
1979,AZ00717,Mesa,AZ,115498,755,2,53,547,153
1979,FL01300,Miami-DadeCounty,FL,677573,9508,129,428,5719,3232
1979,FL01306,Miami,FL,362840,6825,134,261,3040,3390
1979,WIMPD00,Milwaukee,WI,645097,3039,63,283,1101,1592
1979,MN02711,Minneapolis,MN,363899,3899,30,327,1554,1988
1979,MD01604,MontgomeryCounty,MD,522756,1241,17,130,534,560
1979,TN01901,Nashville,TN,444443,3251,89,266,1180,1716
1979,NY02900,NassauCounty,NY,1105718,1257,20,39,425,773
1979,LANPD00,NewOrleans,LA,567656,8894,242,423,2953,5276
1979,NY03030,NewYorkCity,NY,7109420,132383,1733,3875,44203,82572
1979,NJNPD00,Newark,NJ,315818,9647,129,417,3001,6100
1979,CA00109,Oakland,CA,344686,6064,106,373,2513,3072
1979,OK05506,OklahomaCity,OK,381348,3812,83,311,2230,1188
1979,NB02802,Omaha,NE,370326,2017,40,193,830,954
1979,FL04804,Orlando,FL,121515,1726,17,133,1080,496
1979,PAPEP00,Philadelphia,PA,1757368,14537,385,838,4476,8838
1979,AZ00723,Phoenix,AZ,718216,5803,91,477,2898,2337
1979,PAPPD00,Pittsburgh,PA,439407,4649,68,263,1566,2752
1979,OR02602,Portland,OR,406525,4558,39,435,2297,1787
1979,MD01721,PrinceGeorge'sCounty,MD,559514,4538,48,346,1868,2276
1979,NC09201,Raleigh,NC,140285,804,17,46,539,202
1979,CA03404,Sacramento,CA,274300,3212,44,219,1309,1640
1979,UT01803,SaltLakeCity,UT,180189,1119,18,155,451,495
1979,TXSPD00,SanAntonio,TX,829138,4088,171,367,1861,1689
1979,CA03711,SanDiego,CA,829322,5436,96,331,2125,2884
1979,CA03801,SanFrancisco,CA,659176,11041,112,664,3571,6694
1979,CA04313,SanJose,CA,604993,3236,44,407,1427,1358
1979,WASPD00,Seattle,WA,521590,4857,37,421,2328,2071
1979,MOSPD00,St.Louis,MO,505451,10774,265,555,4568,5386
1979,NY05101,SuffolkCounty,NY,1165851,3023,26,178,1708,1111
1979,FL02902,Tampa,FL,277203,4206,37,308,2549,1312
1979,AZ01003,Tucson,AZ,315978,2029,14,184,1134,697
1979,OK07205,Tulsa,OK,343258,2326,44,196,1435,651
1979,VA12800,VirginiaBeach,VA,244308,530,10,74,258,188
1979,DCMPD00,Washington,DC,656000,10553,180,489,2964,6920
1979,KS08703,Wichita,KS,273559,1456,32,147,609,668
1979,,UnitedStates,,1208030,21460,,,,
1980,NM00101,Albuquerque,NM,328837,2810,49,217,1630,914
1980,TX22001,Arlington,TX,161192,806,7,72,531,196
1980,GAAPD00,Atlanta,GA,422474,11075,201,671,5470,4733
1980,CO00101,Aurora,CO,158249,1278,10,95,822,351
1980,TX22701,Austin,TX,343425,1723,43,237,765,678
1980,MD00301,BaltimoreCounty,MD,651337,5774,26,184,4356,1208
1980,MDBPD00,Baltimore,MD,784554,16571,216,560,5775,10020
1980,MA01301,Boston,MA,562582,12478,92,484,4376,7526
1980,NY01401,Buffalo,NY,357384,3833,61,297,1561,1914
1980,NC06001,Charlotte,NC,310794,2759,60,145,1868,686
1980,ILCPD00,Chicago,IL,2986419,28658,863,1329,10205,16261
1980,OHCIP00,Cincinnati,OH,383114,3930,48,353,1843,1686
1980,OHCLP00,Cleveland,OH,572657,11466,265,703,3696,6802
1980,OHCOP00,Columbus,OH,562416,5130,87,460,1359,3224
1980,TXDPD00,Dallas,TX,900104,12681,319,1121,6258,4983
1980,CODPD00,Denver,CO,489318,5520,99,704,2351,2366
1980,MI82349,Detroit,MI,1197325,23288,547,1313,7999,13429
1980,TX07102,ElPaso,TX,425122,2811,54,218,1711,828
1980,VA02901,FairfaxCounty,VA,568736,995,21,95,376,503
1980,TX22012,FortWorth,TX,382679,4693,106,338,1963,2286
1980,CA01005,Fresno,CA,215396,2369,49,193,895,1232
1980,HI00200,Honolulu,HI,762020,2456,65,264,398,1729
1980,TXHPD00,Houston,TX,1557575,13499,524,1264,2530,9181
1980,INIPD00,Indianapolis,IN,698753,4453,107,410,1743,2193
1980,FL01602,Jacksonville,FL,542795,4848,70,414,2733,1631
1980,MOKPD00,KansasCity,MO,446865,7013,132,518,3474,2889
1980,NV00201,LasVegas,NV,385396,4421,92,291,1402,2636
1980,CA01941,LongBeach,CA,356906,4634,82,288,1483,2781
